"bibtex_key","author","title","year","explicit","separate","embedded","juxtaposed","interchangeable","abstraction","tree","node-attribute","overlay","node-link-diagram","multiples","hybrid","matrix","disjoint-hierarchical","disjoint-flat","overlapping-flat","overlapping-hierarchical"
"elmqvist_citewiz_2007","Elmqvist, Niklas; Tsigas, Philippas","CiteWiz}: {A} {Tool} for the {Visualization} of {Scientific} {Citation} {Networks","2007",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"elzen_dynamic_2014","Elzen, Stef van den; Holten, Danny; Blaas, Jorik; van Wijk, Jarke J.","Dynamic {Network} {Visualization} {withExtended} {Massive} {Sequence} {Views","2014",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"engle_visualizing_2012","Engle, Sophie; Whalen, Sean","Visualizing distributed memory computations with hive plots","2012",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"erten_graphael_2004","Erten, Cesim; Harding, Philip J.; Kobourov, Stephen G.; Wampler, Kevin; Yee, Gary","GraphAEL}: {Graph} {Animations} with {Evolving} {Layouts","2004",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"farrugia_exploring_2011","Farrugia, Michael; Hurley, Neil; Quigley, Aaron","Exploring {Temporal} {Ego} {Networks} {Using} {Small} {Multiples} and {Tree}-ring {Layouts","2011",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"federico_visual_2011","Federico, Paolo; Aigner, Wolfgang; Miksch, Silvia; Windhager, Florian; Zenk, Lukas","A visual analytics approach to dynamic social networks","2011",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"fekete_interactive_2003","Fekete, J; Wang, D; Dang, Niem; Aris, Aleks; Plaisant, Catherine","Interactive poster: {Overlaying} graph links on treemaps","2003",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"frishman_dynamic_2004","Frishman, Y.; Tal, Ayellet","Dynamic {Drawing} of {Clustered} {Graphs","2004",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"frishman_movis_2008","Frishman, Yaniv; Tal, Ayellet","MOVIS}: {A} system for visualizing distributed mobile object environments","2008",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"fu_visualization_2007","Fu, Xiaoyan; Hong, Seok-hee; Nikolov, Nikola S.; Shen, Xiaobin; Wu, Yingxin; Xuk, Kai","Visualization and analysis of email networks","2007",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"fung_visual_2009","Fung, David C. Y.; Hong, Seok-Hee; Koschützki, Dirk; Schreiber, Falk; Xu, Kai","Visual {Analysis} of {Overlapping} {Biological} {Networks","2009",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"gansner_gmap_2010","Gansner, Emden R.; Hu, Yifan; Kobourov, Stephen","GMap}: {Visualizing} graphs and clusters as maps","2010",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"ghani_visual_2013","Ghani, Sohaib; Kwon, Bum Chul; Lee, Seungyoon; Yi, Ji Soo; Elmqvist, Niklas","Visual {Analytics} for {Multimodal} {Social} {Network} {Analysis}: {A} {Design} {Study} with {Social} {Scientists","2013",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"ghoniem_matrix_2003","Ghoniem, Mohammad; Fekete, Jean-Daniel","Matrix view of graphs and direct manipulation of cluster hierarchies","2003",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"ghoniem_peeking_2005","Ghoniem, Mohammad; Cambazard, Hadrien; Fekete, Jean-Daniel; Jussien, Narendra","Peeking in solver strategies using explanations visualization of dynamic graphs for constraint programming","2005",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"gilbert_communities_2011","Gilbert, Frédéric; Simonetto, Paolo; Zaidi, Faraz; Jourdan, Fabien; Bourqui, Romain","Communities and hierarchical structures in dynamic social networks: analysis and visualization","2011",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"gou_treenetviz_2011","Gou, Liang; Zhang, Xiaolong Luke","TreeNetViz}: {Revealing} {Patterns} of {Networks} over {Tree} {Structures","2011",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"greilich_visualizing_2009","Greilich, Martin; Burch, Michael; Diehl, Stephan","Visualizing the {Evolution} of {Compound} {Digraphs} with {TimeArcTrees","2009",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"gross_honeycomb_2009","van Ham, Frank; Schulz, Hans-Jörg; Dimicco, Joan M.","Honeycomb: {Visual} {Analysis} of {Large} {Scale} {Social} {Networks","2009",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"hascoet_interactive_2012","Hascoët, Mountaz; Dragicevic, Pierre","Interactive graph matching and visual comparison of graphs and clustered graphs","2012",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"heer_vizster_2005","Heer, J.; Boyd, D.","Vizster: visualizing online social networks","2005",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"henry_improving_2008","Henry, Nathalie; Bezerianos, Anastasia; Fekete, Jean-Daniel","Improving the {Readability} of {Clustered} {Social} {Networks} using {Node} {Duplication","2008",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"henry_nodetrix_2007","Henry, Nathalie; Fekete, Jean-Daniel; McGuffin, Michael J.","NodeTrix}: a {Hybrid} {Visualization} of {Social} {Networks","2007",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"holten_hierarchical_2006","Holten, Danny","Hierarchical {Edge} {Bundles}: {Visualization} of {Adjacency} {Relations} in {Hierarchical} {Data","2006",NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA
"holten_trace_2007","Holten, Danny; Cornelissen, Bas; van Wijk, Jarke J.","Trace {Visualization} {Using} {Hierarchical} {Edge} {Bundles} and {Massive} {Sequence} {Views","2007",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"hu_embedding_2012","Hu, Yifan; Kobourov, Stephen G.; Veeramoni, Sankar","Embedding, clustering and coloring for dynamic maps","2012",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"hu_visualizing_2010","Hu, Yifan; Gansner, Emden R.; Kobourov, Stephen","Visualizing {Graphs} and {Clusters} as {Maps","2010",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"huang_navigating_2007","Huang, Mao Lin; Vinh Nguyen, Quang","Navigating {Large} {Clustered} {Graphs} with {Triple}-{Layer} {Display","2007",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"huang_space_2007","Huang, Mao Lin; Nguyen, Quang Vinh","A {Space} {Efficient} {Clustered} {Visualization} of {Large} {Graphs","2007",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"humayoun_social-circles_2016","Humayoun, Shah Rukh; Ezaiza, Hafez; AlTarawneh, Ragaad; Ebert, Achim","Social-{Circles} {Exploration} through {Interactive} {Multi}-{Layered} {Chord} {Layout","2016",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"hurter_bundled_2014","Hurter, Christophe; Ersoy, Ozan; Fabrikant, Sara Irina; Klein, Tijmen R.; Telea, Alexandru C.","Bundled {Visualization} of {DynamicGraph} and {Trail} {Data","2014",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"itoh_analysis_2012","Itoh, Masahiko; Yoshinaga, Naoki; Toyoda, Masashi; Kitsuregawa, Masaru","Analysis and visualization of temporal changes in bloggers' activities and interests","2012",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"itoh_hybrid_2009","Itoh, Takayuki; Muelder, Chris; Ma, Kwan-Liu; Sese, Jun","A hybrid space-filling and force-directed layout method for visualizing multiple-category graphs","2009",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"itoh_interactive_2010","Itoh, Masahiko; Toyoda, Masashi; Kitsuregawa, Masaru","An {Interactive} {Visualization} {Framework} for {Time}-{Series} of {Web} {Graphs} in a {3D} {Environment","2010",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
